Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Start Flag
0,-0.161743164,0.945800781,0.128417969,-2.258300781,-3.173827887,-7.080077648,0
1,0.00769043,0.989868164,0.142822266,-3.417968512,-7.019042492,-3.051757574,0
2,-0.136474609,0.95300293,0.127929688,-1.159667969,-4.028320313,-2.014160156,0
3,-0.075439453,0.968139648,0.131713867,0.915527284,-1.159667969,-1.159667969,0
4,-0.098266602,0.965942383,0.131591797,-1.525878787,-0.854492128,-2.868652105,0
5,-0.085327148,0.95690918,0.14855957,-1.525878787,-6.469726086,2.563476324,0
6,-0.108154297,0.968139648,0.123901367,0.427246064,0.549316406,-5.676269054,0
7,-0.038452148,0.969604492,0.141113281,0.061035153,-2.746581793,1.159667969,0
8,-0.067626953,0.952392578,0.152709961,0.48828122,-8.30078125,-4.760742188,0
9,-0.051513672,0.975219727,0.135498047,-1.220703125,-3.051757574,-8.117675781,0
10,-0.034179688,0.990844727,0.106811523,0.549316406,3.479003668,-1.281738162,0
11,-0.04699707,0.958129883,0.139770508,2.136230469,-2.136230469,-11.90185452,0
12,0.028930664,0.972045898,0.129516602,1.892089725,-4.211425781,-35.64453125,0
13,-0.034057617,0.976196289,0.178833008,19.83642578,-44.18944931,-67.50488281,0
14,0.175537109,0.732788086,0.233764648,45.89843369,104.3701096,-67.62695313,0
15,0.210693359,0.953735352,0.026245117,-18.43261719,0.793456972,-23.010252,0
16,-0.109985352,0.982177734,0.057128906,-8.056640625,15.50292873,-22.0336895,0
17,0.470214844,0.919067383,0.151489258,-5.920409679,0.183105454,-4.150390625,0
18,0.524169922,0.889160156,0.133666992,5.310058117,19.65332031,13.06152248,0
19,0.313354492,0.909912109,0.111572266,-22.39990044,7.507323742,14.22119045,0
20,0.343994141,0.860473633,0.167358398,-3.479003668,41.25976181,30.15136528,0
21,0.304199219,0.958496094,0.142211914,18.5546875,21.85058403,101.9897385,0
22,0.282348633,0.936401367,0.200927734,17.578125,-10.07079983,100.4638596,0
23,-0.351318359,0.915039063,0.10144043,11.35253811,6.958007336,5.004882813,0
24,-0.050292969,1.069824219,0.020629883,8.239746094,10.37597561,-13.61083889,0
25,-0.147338867,0.952636719,0.157714844,-3.967284918,-1.159667969,2.929687262,0
26,-0.022949219,0.982421875,0.15625,-7.263183117,-4.39453125,1.953124881,0
27,-0.1640625,0.954833984,0.133178711,-0.671386659,2.685546637,-3.845214605,0
28,-0.053466797,0.971069336,0.155639648,-2.258300781,1.6479491,-7.385253429,0
29,-0.108154297,0.961914063,0.133911133,-1.6479491,1.281738162,-3.11279273,1
30,-0.140380859,0.937988281,0.160400391,0.24414061,-0.366210908,-0.97656244,1
31,-0.06628418,0.974365234,0.124389648,-1.403808475,1.342773318,-0.48828122,1
32,-0.084472656,0.967773438,0.129272461,-2.319335938,-0.48828122,-5.065917492,1
33,-0.039794922,0.995483398,0.106201172,0.305175781,-1.6479491,-1.281738162,1
34,-0.096679688,0.96472168,0.123413086,-0.97656244,1.281738162,-4.028320313,1
35,-0.029296875,0.979248047,0.129272461,-1.342773318,-0.122070305,2.502441406,1
36,-0.087890625,0.968017578,0.125732422,-3.479003668,-1.037597656,-5.859374523,1
37,-0.076660156,0.963256836,0.129272461,-0.97656244,-1.037597656,0,1
38,-0.042236328,0.98815918,0.108520508,-2.136230469,1.037597656,-0.24414061,1
39,-0.077148438,0.98828125,0.091430664,0.122070305,0.915527284,-4.638671875,1
40,-0.05456543,0.967895508,0.120483398,1.770019412,-1.281738162,-3.60107398,1
41,-0.055053711,0.907226563,0.17199707,0.793456972,-13.67187405,-42.29735947,1
42,-0.120483398,0.979614258,0.105102539,-3.479003668,-35.33935547,-57.3120079,1
43,-0.461791992,1.080688477,-0.180053711,30.09033012,-3.784179449,-61.15722275,1
44,0.832641602,0.962890625,0.407470703,-18.73779297,-35.88867188,-17.70019531,1
45,0.685668945,0.92199707,0.244628906,-18.73779297,-10.62011623,-16.84570313,1
46,0.509155273,0.851806641,0.047973633,11.35253811,38.51318359,-9.338378906,1
47,0.224365234,0.926635742,0.000732422,-2.990722418,10.86425686,-2.990722418,1
48,0.239746094,0.895507813,0.11340332,0.793456972,4.638671875,6.774901867,1
49,0.442749023,0.883666992,0.107177734,-0.183105454,36.80419922,17.70019531,1
50,0.342529297,0.934814453,0.093505859,-10.92529202,24.90234184,62.68310165,1
51,-0.075439453,0.928344727,0.079345703,17.33398438,27.34374809,110.5956955,1
52,-0.171142578,0.970581055,0.001831055,18.49365234,29.72411919,17.70019531,1
53,0.322265625,1.051879883,0.134033203,-12.26806545,-17.578125,35.52246094,1
54,0.015258789,0.955932617,0.187988281,5.310058117,5.920409679,-1.220703125,1
55,-0.09362793,0.981811523,0.108764648,-0.793456972,-0.24414061,2.197265625,1
56,-0.140991211,0.9609375,0.118530273,-2.197265625,2.136230469,0.48828122,1
57,-0.075195313,0.974487305,0.124023438,1.281738162,-1.586913943,1.220703125,1
58,-0.112182617,0.938232422,0.158813477,-1.770019412,-1.525878787,-0.061035153,1
59,-0.113647461,0.974121094,0.112670898,-1.220703125,-1.037597656,-0.854492128,2
60,-0.055541992,0.972900391,0.12512207,1.159667969,2.258300781,-1.098632813,2
61,-0.10546875,0.950195313,0.136962891,-2.014160156,-2.319335938,-1.220703125,2
62,-0.097167969,0.974487305,0.111083984,-2.380371094,-0.427246064,-2.380371094,2
63,-0.071533203,0.979248047,0.103759766,0.24414061,1.098632813,-4.028320313,2
64,-0.090698242,0.962768555,0.118041992,-1.403808475,0.366210908,-0.549316406,2
65,-0.109741211,0.977783203,0.09375,-0.549316406,0.549316406,-3.173827887,2
66,-0.038696289,0.967651367,0.122924805,0.427246064,0.183105454,-2.014160156,2
